frame_index,t_rel_s,interval_s,size_bytes,width,height,file
1,0.203,0.203,6060,324,244,frame_00001.jpg
2,0.328,0.125,6058,324,244,frame_00002.jpg
3,0.468,0.14,6045,324,244,frame_00003.jpg
4,0.593,0.125,6071,324,244,frame_00004.jpg
5,0.734,0.141,6041,324,244,frame_00005.jpg
6,0.859,0.125,6018,324,244,frame_00006.jpg
7,1.0,0.141,6052,324,244,frame_00007.jpg
8,1.109,0.109,6076,324,244,frame_00008.jpg
9,1.25,0.141,6052,324,244,frame_00009.jpg
10,1.375,0.125,6067,324,244,frame_00010.jpg
11,1.515,0.14,6139,324,244,frame_00011.jpg
12,1.64,0.125,6219,324,244,frame_00012.jpg
13,1.781,0.141,6205,324,244,frame_00013.jpg
14,1.921,0.14,6209,324,244,frame_00014.jpg
15,2.046,0.125,6212,324,244,frame_00015.jpg
16,2.187,0.141,6249,324,244,frame_00016.jpg
17,2.328,0.141,6281,324,244,frame_00017.jpg
18,2.437,0.109,6199,324,244,frame_00018.jpg
19,2.578,0.141,6009,324,244,frame_00019.jpg
20,2.718,0.14,5910,324,244,frame_00020.jpg
21,2.859,0.141,5768,324,244,frame_00021.jpg
22,2.968,0.109,5820,324,244,frame_00022.jpg
23,3.125,0.157,5708,324,244,frame_00023.jpg
24,3.25,0.125,5836,324,244,frame_00024.jpg
25,3.375,0.125,6106,324,244,frame_00025.jpg
26,3.468,0.093,6053,324,244,frame_00026.jpg
27,3.64,0.172,5990,324,244,frame_00027.jpg
28,3.781,0.141,6065,324,244,frame_00028.jpg
29,3.906,0.125,6061,324,244,frame_00029.jpg
30,4.046,0.14,6045,324,244,frame_00030.jpg
31,4.171,0.125,6066,324,244,frame_00031.jpg
32,4.328,0.157,6023,324,244,frame_00032.jpg
33,4.437,0.109,6025,324,244,frame_00033.jpg
34,4.531,0.094,6003,324,244,frame_00034.jpg
35,4.703,0.172,6019,324,244,frame_00035.jpg
36,4.828,0.125,6036,324,244,frame_00036.jpg
37,4.968,0.14,6041,324,244,frame_00037.jpg
38,5.093,0.125,6044,324,244,frame_00038.jpg
39,5.25,0.157,6021,324,244,frame_00039.jpg
40,5.359,0.109,6024,324,244,frame_00040.jpg
41,5.5,0.141,6034,324,244,frame_00041.jpg
42,5.64,0.14,6075,324,244,frame_00042.jpg
43,5.765,0.125,6066,324,244,frame_00043.jpg
44,5.921,0.156,6077,324,244,frame_00044.jpg
45,6.031,0.11,6075,324,244,frame_00045.jpg
46,6.171,0.14,6011,324,244,frame_00046.jpg
47,6.296,0.125,6018,324,244,frame_00047.jpg
48,6.437,0.141,6057,324,244,frame_00048.jpg
49,6.562,0.125,6070,324,244,frame_00049.jpg
50,6.64,0.078,6065,324,244,frame_00050.jpg
51,6.828,0.188,6086,324,244,frame_00051.jpg
52,6.953,0.125,6075,324,244,frame_00052.jpg
53,7.046,0.093,5997,324,244,frame_00053.jpg
54,7.171,0.125,6047,324,244,frame_00054.jpg
55,7.375,0.204,6046,324,244,frame_00055.jpg
56,7.484,0.109,6059,324,244,frame_00056.jpg
57,7.625,0.141,6034,324,244,frame_00057.jpg
58,7.75,0.125,6125,324,244,frame_00058.jpg
59,7.875,0.125,6100,324,244,frame_00059.jpg
60,8.015,0.14,6115,324,244,frame_00060.jpg
61,8.14,0.125,6070,324,244,frame_00061.jpg
62,8.296,0.156,6005,324,244,frame_00062.jpg
