frame_index,t_rel_s,interval_s,size_bytes,width,height,file
118,15.578,0.14,5247,324,244,frame_00118.jpg
119,15.703,0.125,5260,324,244,frame_00119.jpg
120,15.844,0.141,5273,324,244,frame_00120.jpg
121,15.984,0.14,5249,324,244,frame_00121.jpg
122,16.109,0.125,5254,324,244,frame_00122.jpg
123,16.234,0.125,5214,324,244,frame_00123.jpg
124,16.375,0.141,5361,324,244,frame_00124.jpg
125,16.5,0.125,5245,324,244,frame_00125.jpg
126,16.641,0.141,5299,324,244,frame_00126.jpg
127,16.766,0.125,5252,324,244,frame_00127.jpg
128,16.906,0.14,5220,324,244,frame_00128.jpg
129,17.031,0.125,5249,324,244,frame_00129.jpg
130,17.156,0.125,5270,324,244,frame_00130.jpg
131,17.297,0.141,5191,324,244,frame_00131.jpg
132,17.422,0.125,5178,324,244,frame_00132.jpg
133,17.594,0.172,5257,324,244,frame_00133.jpg
134,17.703,0.109,5232,324,244,frame_00134.jpg
135,17.828,0.125,5197,324,244,frame_00135.jpg
136,17.953,0.125,5226,324,244,frame_00136.jpg
137,18.078,0.125,5207,324,244,frame_00137.jpg
138,18.266,0.188,5190,324,244,frame_00138.jpg
139,18.359,0.093,5254,324,244,frame_00139.jpg
140,18.484,0.125,5273,324,244,frame_00140.jpg
141,18.75,0.266,5243,324,244,frame_00141.jpg
142,18.875,0.125,5179,324,244,frame_00142.jpg
143,19.047,0.172,5221,324,244,frame_00143.jpg
144,19.141,0.094,5193,324,244,frame_00144.jpg
145,19.266,0.125,5232,324,244,frame_00145.jpg
146,19.406,0.14,5205,324,244,frame_00146.jpg
147,19.547,0.141,5242,324,244,frame_00147.jpg
148,19.688,0.141,5204,324,244,frame_00148.jpg
149,19.859,0.171,5213,324,244,frame_00149.jpg
150,19.922,0.063,5230,324,244,frame_00150.jpg
151,20.063,0.141,5203,324,244,frame_00151.jpg
152,20.203,0.14,5200,324,244,frame_00152.jpg
153,20.328,0.125,5183,324,244,frame_00153.jpg
154,20.453,0.125,5182,324,244,frame_00154.jpg
155,20.609,0.156,5237,324,244,frame_00155.jpg
156,20.734,0.125,5174,324,244,frame_00156.jpg
157,20.859,0.125,5150,324,244,frame_00157.jpg
158,21.0,0.141,5192,324,244,frame_00158.jpg
159,21.172,0.172,5244,324,244,frame_00159.jpg
160,21.25,0.078,5251,324,244,frame_00160.jpg
161,21.375,0.125,5215,324,244,frame_00161.jpg
162,21.516,0.141,5202,324,244,frame_00162.jpg
163,21.641,0.125,5216,324,244,frame_00163.jpg
164,21.781,0.14,5156,324,244,frame_00164.jpg
165,21.906,0.125,5236,324,244,frame_00165.jpg
166,22.094,0.188,5248,324,244,frame_00166.jpg
167,22.234,0.14,5200,324,244,frame_00167.jpg
168,22.313,0.079,5175,324,244,frame_00168.jpg
169,22.438,0.125,5148,324,244,frame_00169.jpg
170,22.578,0.14,5260,324,244,frame_00170.jpg
171,22.703,0.125,5226,324,244,frame_00171.jpg
172,22.828,0.125,5222,324,244,frame_00172.jpg
173,23.016,0.188,5223,324,244,frame_00173.jpg
174,23.094,0.078,5217,324,244,frame_00174.jpg
175,23.234,0.14,5165,324,244,frame_00175.jpg
176,23.359,0.125,5189,324,244,frame_00176.jpg
177,23.5,0.141,5103,324,244,frame_00177.jpg
178,23.625,0.125,5218,324,244,frame_00178.jpg
179,23.766,0.141,5209,324,244,frame_00179.jpg
180,23.953,0.187,5219,324,244,frame_00180.jpg
181,24.016,0.063,5156,324,244,frame_00181.jpg
182,24.203,0.187,5106,324,244,frame_00182.jpg
183,24.281,0.078,5128,324,244,frame_00183.jpg
184,24.422,0.141,5162,324,244,frame_00184.jpg
185,24.547,0.125,5213,324,244,frame_00185.jpg
186,24.688,0.141,5216,324,244,frame_00186.jpg
187,24.859,0.171,5267,324,244,frame_00187.jpg
188,24.953,0.094,5206,324,244,frame_00188.jpg
189,25.078,0.125,5254,324,244,frame_00189.jpg
190,25.266,0.188,5252,324,244,frame_00190.jpg
191,25.344,0.078,5204,324,244,frame_00191.jpg
192,25.531,0.187,5130,324,244,frame_00192.jpg
193,25.609,0.078,5104,324,244,frame_00193.jpg
194,25.734,0.125,5022,324,244,frame_00194.jpg
195,25.875,0.141,4909,324,244,frame_00195.jpg
196,26.0,0.125,4940,324,244,frame_00196.jpg
197,26.141,0.141,4936,324,244,frame_00197.jpg
198,26.313,0.172,5064,324,244,frame_00198.jpg
199,26.438,0.125,5023,324,244,frame_00199.jpg
200,26.531,0.093,5050,324,244,frame_00200.jpg
201,26.719,0.188,5186,324,244,frame_00201.jpg
202,26.828,0.109,5222,324,244,frame_00202.jpg
203,26.969,0.141,5266,324,244,frame_00203.jpg
204,27.063,0.094,5349,324,244,frame_00204.jpg
205,27.25,0.187,5395,324,244,frame_00205.jpg
206,27.328,0.078,5300,324,244,frame_00206.jpg
207,27.453,0.125,5304,324,244,frame_00207.jpg
208,27.594,0.141,5306,324,244,frame_00208.jpg
209,27.734,0.14,5382,324,244,frame_00209.jpg
210,27.875,0.141,5329,324,244,frame_00210.jpg
211,27.984,0.109,5410,324,244,frame_00211.jpg
212,28.109,0.125,5346,324,244,frame_00212.jpg
213,28.25,0.141,5328,324,244,frame_00213.jpg
214,28.391,0.141,5301,324,244,frame_00214.jpg
215,28.516,0.125,5337,324,244,frame_00215.jpg
216,28.688,0.172,5300,324,244,frame_00216.jpg
217,28.781,0.093,5301,324,244,frame_00217.jpg
218,28.906,0.125,5353,324,244,frame_00218.jpg
219,29.063,0.157,5358,324,244,frame_00219.jpg
220,29.172,0.109,5325,324,244,frame_00220.jpg
221,29.297,0.125,5255,324,244,frame_00221.jpg
222,29.484,0.187,5323,324,244,frame_00222.jpg
223,29.563,0.079,5371,324,244,frame_00223.jpg
224,29.703,0.14,5388,324,244,frame_00224.jpg
225,29.875,0.172,5319,324,244,frame_00225.jpg
226,29.953,0.078,5203,324,244,frame_00226.jpg
227,30.141,0.188,5226,324,244,frame_00227.jpg
228,30.219,0.078,5265,324,244,frame_00228.jpg
229,30.359,0.14,5369,324,244,frame_00229.jpg
230,30.531,0.172,5301,324,244,frame_00230.jpg
231,30.625,0.094,5204,324,244,frame_00231.jpg
232,30.75,0.125,5303,324,244,frame_00232.jpg
233,30.891,0.141,5206,324,244,frame_00233.jpg
234,31.016,0.125,5251,324,244,frame_00234.jpg
235,31.141,0.125,5196,324,244,frame_00235.jpg
236,31.281,0.14,5229,324,244,frame_00236.jpg
237,31.406,0.125,5362,324,244,frame_00237.jpg
238,31.547,0.141,5518,324,244,frame_00238.jpg
239,31.688,0.141,5409,324,244,frame_00239.jpg
240,31.859,0.171,5514,324,244,frame_00240.jpg
241,31.938,0.079,5383,324,244,frame_00241.jpg
242,32.063,0.125,5361,324,244,frame_00242.jpg
243,32.203,0.14,5234,324,244,frame_00243.jpg
244,32.328,0.125,5241,324,244,frame_00244.jpg
245,32.469,0.141,5312,324,244,frame_00245.jpg
246,32.594,0.125,5346,324,244,frame_00246.jpg
247,32.766,0.172,5365,324,244,frame_00247.jpg
248,32.859,0.093,5338,324,244,frame_00248.jpg
249,32.984,0.125,5338,324,244,frame_00249.jpg
250,33.141,0.157,5230,324,244,frame_00250.jpg
251,33.25,0.109,5237,324,244,frame_00251.jpg
252,33.391,0.141,5251,324,244,frame_00252.jpg
253,33.516,0.125,5191,324,244,frame_00253.jpg
254,33.703,0.187,5098,324,244,frame_00254.jpg
255,33.781,0.078,5157,324,244,frame_00255.jpg
256,33.938,0.157,5104,324,244,frame_00256.jpg
257,34.094,0.156,4934,324,244,frame_00257.jpg
258,34.188,0.094,4951,324,244,frame_00258.jpg
259,34.313,0.125,4988,324,244,frame_00259.jpg
260,34.438,0.125,4981,324,244,frame_00260.jpg
261,34.625,0.187,5014,324,244,frame_00261.jpg
262,34.75,0.125,4986,324,244,frame_00262.jpg
263,34.844,0.094,5098,324,244,frame_00263.jpg
264,35.031,0.187,4983,324,244,frame_00264.jpg
265,35.109,0.078,4909,324,244,frame_00265.jpg
266,35.25,0.141,4803,324,244,frame_00266.jpg
267,35.375,0.125,4913,324,244,frame_00267.jpg
268,35.5,0.125,4948,324,244,frame_00268.jpg
269,35.672,0.172,4435,324,244,frame_00269.jpg
270,35.75,0.078,4361,324,244,frame_00270.jpg
271,35.891,0.141,5043,324,244,frame_00271.jpg
272,36.109,0.218,4962,324,244,frame_00272.jpg
273,36.203,0.094,4958,324,244,frame_00273.jpg
274,36.313,0.11,5051,324,244,frame_00274.jpg
275,36.422,0.109,5005,324,244,frame_00275.jpg
276,36.547,0.125,5008,324,244,frame_00276.jpg
277,36.672,0.125,4973,324,244,frame_00277.jpg
278,36.813,0.141,4979,324,244,frame_00278.jpg
279,36.938,0.125,5025,324,244,frame_00279.jpg
280,37.094,0.156,5019,324,244,frame_00280.jpg
281,37.266,0.172,5001,324,244,frame_00281.jpg
282,37.359,0.093,4990,324,244,frame_00282.jpg
283,37.516,0.157,4984,324,244,frame_00283.jpg
284,37.609,0.093,5012,324,244,frame_00284.jpg
285,37.797,0.188,5113,324,244,frame_00285.jpg
286,37.906,0.109,4999,324,244,frame_00286.jpg
287,38.0,0.094,5013,324,244,frame_00287.jpg
288,38.141,0.141,5064,324,244,frame_00288.jpg
289,38.328,0.187,5096,324,244,frame_00289.jpg
290,38.391,0.063,5054,324,244,frame_00290.jpg
291,38.563,0.172,5026,324,244,frame_00291.jpg
292,38.703,0.14,5043,324,244,frame_00292.jpg
293,38.797,0.094,5069,324,244,frame_00293.jpg
294,38.922,0.125,5110,324,244,frame_00294.jpg
295,39.063,0.141,5073,324,244,frame_00295.jpg
296,39.203,0.14,5073,324,244,frame_00296.jpg
297,39.359,0.156,5088,324,244,frame_00297.jpg
298,39.453,0.094,5070,324,244,frame_00298.jpg
299,39.594,0.141,5092,324,244,frame_00299.jpg
300,39.781,0.187,5030,324,244,frame_00300.jpg
301,39.906,0.125,5058,324,244,frame_00301.jpg
302,39.984,0.078,5140,324,244,frame_00302.jpg
303,40.109,0.125,5165,324,244,frame_00303.jpg
304,40.266,0.157,5074,324,244,frame_00304.jpg
305,40.422,0.156,5103,324,244,frame_00305.jpg
306,40.516,0.094,5053,324,244,frame_00306.jpg
